SEP=;
active;ref.owner_id;ref.report_id;ref.state;ref.version;report.additional_notes;report.condition.abandoned_body_pits;report.condition.abandoned_egg_cavities;report.condition.accretion.0.storm_name;report.condition.accretion.0.timestamp_ms;report.condition.actively_record_events;report.condition.additional_hatch_timestamp_ms;report.condition.describe_control_methods;report.condition.disorientation;report.condition.eggs_damaged_by_another_turtle;report.condition.eggs_scattered_by_another;report.condition.eggs_scattered_by_another_timestamp_ms;report.condition.ghost_damage_10_or_less;report.condition.hatch_timestamp_ms;report.condition.inundated_event.0.storm_name;report.condition.inundated_event.0.timestamp_ms;report.condition.inundated_event.1.storm_name;report.condition.inundated_event.1.timestamp_ms;report.condition.inundated_event.2.storm_name;report.condition.inundated_event.2.timestamp_ms;report.condition.nest_depredated;report.condition.nest_dug_into;report.condition.nest_inundated;report.condition.nest_inundated_timestamp_ms;report.condition.no_digging;report.condition.partial_washout.storm_name;report.condition.partial_washout.timestamp_ms;report.condition.poached;report.condition.poached_eggs_removed;report.condition.poached_timestamp_ms;report.condition.post_hatch_washout;report.condition.preditation.0.number_of_eggs;report.condition.preditation.0.predator;report.condition.preditation.0.predator_spinner_text;report.condition.preditation.0.timestamp_ms;report.condition.prop_events_recorded;report.condition.roots_invaded_eggshells;report.condition.storm_impact.other_impact;report.condition.storm_impact.storm_name;report.condition.storm_impact.timestamp_ms;report.condition.vandalism_type;report.condition.vandalized;report.condition.vandalized_timestamp_ms;report.condition.wash_out.storm_name;report.condition.wash_out.timestamp_ms;report.condition.wash_over.0.storm_name;report.condition.wash_over.0.timestamp_ms;report.condition.wash_over.1.storm_name;report.condition.wash_over.1.timestamp_ms;report.condition.wash_over.10.storm_name;report.condition.wash_over.10.timestamp_ms;report.condition.wash_over.2.storm_name;report.condition.wash_over.2.timestamp_ms;report.condition.wash_over.3.storm_name;report.condition.wash_over.3.timestamp_ms;report.condition.wash_over.4.storm_name;report.condition.wash_over.4.timestamp_ms;report.condition.wash_over.5.storm_name;report.condition.wash_over.5.timestamp_ms;report.condition.wash_over.6.storm_name;report.condition.wash_over.6.timestamp_ms;report.condition.wash_over.7.storm_name;report.condition.wash_over.7.timestamp_ms;report.condition.wash_over.8.storm_name;report.condition.wash_over.8.timestamp_ms;report.condition.wash_over.9.storm_name;report.condition.wash_over.9.timestamp_ms;report.false_crawl_number;report.image.1;report.image.2;report.image.3;report.image.4;report.image.5;report.image.6;report.image.7;report.image.8;report.intervention.adopted;report.intervention.adoptee;report.intervention.excavation.dead_in_nest;report.intervention.excavation.dead_pipped;report.intervention.excavation.eggs_destroyed;report.intervention.excavation.excavated;report.intervention.excavation.failure_other;report.intervention.excavation.failure_reason;report.intervention.excavation.hatched_shells;report.intervention.excavation.live_in_nest;report.intervention.excavation.live_pipped;report.intervention.excavation.timestamp_ms;report.intervention.excavation.whole_unhatched;report.intervention.protection_event.reason;report.intervention.protection_event.timestamp_ms;report.intervention.protection_event.type;report.intervention.relocation.coordinates.lat;report.intervention.relocation.coordinates.long;report.intervention.relocation.eggs_destroyed;report.intervention.relocation.eggs_relocated;report.intervention.relocation.new_address;report.intervention.relocation.reason;report.intervention.relocation.timestamp_ms;report.intervention.relocation.was_relocated;report.location.apex_to_barrier_ft;report.location.apex_to_barrier_in;report.location.city;report.location.coordinates.lat;report.location.coordinates.long;report.location.details;report.location.escarpment_over_18_inches;report.location.in_cortez_groin_replacement_area;report.location.obstructions.escarpment;report.location.obstructions.furniture;report.location.obstructions.other;report.location.obstructions.seawall_rocks;report.location.placement;report.location.section;report.location.street_address;report.location.triangulation.north.lat;report.location.triangulation.north.long;report.location.triangulation.north_ft;report.location.triangulation.north_in;report.location.triangulation.south.lat;report.location.triangulation.south.long;report.location.triangulation.south_ft;report.location.triangulation.south_in;report.location.water_to_apex_ft;report.location.water_to_apex_in;report.nest_number;report.nest_seaward_of_armoring_structure;report.observers;report.possible_false_crawl;report.possible_false_crawl_number;report.species;report.species_other;report.status;report.timestamp_found_ms;report.type_of_structure;report.within_3_feet_of_structure
NO;section1@islandturtlewatch.com;81;ACTIVE;21;;YES;NO;;;YES;0;;YES;NO;NO;0;YES;1469592000000;;;;;;;NO;NO;NO;0;NO;;0;NO;NO;0;NO;;;;;ALL;NO;;;0;UNKOWN;NO;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;http://1-dot-static-sentinel-567.appspot.com/web/image/81/34702939-d51c-489b-9909-7bedfb5350b8.jpg;http://1-dot-static-sentinel-567.appspot.com/web/image/81/1eb805c7-d27c-4c57-954f-e96b19434534.jpg;http://1-dot-static-sentinel-567.appspot.com/web/image/81/94a55a1d-287e-4590-ba3d-ed421234ead4.jpg;http://1-dot-static-sentinel-567.appspot.com/web/image/81/3b7170a2-3666-46ac-94a2-7ab91cebc37b.jpg;http://1-dot-static-sentinel-567.appspot.com/web/image/81/ae4261ed-a36e-4077-bd77-1ad6c02fc52d.jpg;;;;NO;;0;0;0;YES;;UNSET_REASON;96;1;0;1469592000000;1;UNSET_REASON;0;UNSET_TYPE;0.0;0.0;0;0;;UNSET_REASON;0;NO;18;0;AM;27.53531959;-82.73577965;;NO;NO;NO;NO;;NO;OPEN_BEACH;0;403 north Bay Blvd;0.0;0.0;0;0;0.0;0.0;0;0;38;0;15;NO;Cristine;NO;0;LOGGERHEAD;;NEST_NOT_VERIFIED;1464926400000;;NO
NO;section1@islandturtlewatch.com;82;ACTIVE;17;Day of storm Colin, no wash over at date;NO;NO;;;YES;0;;NO;NO;NO;0;YES;0;;;;;;;NO;NO;NO;0;NO;;0;NO;NO;0;NO;;;;;ALL;NO;;;0;UNKOWN;NO;0;;0;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;NO;;0;0;0;NO;;EGGS_NOT_FOUND;0;0;0;1471320000000;0;UNSET_REASON;0;UNSET_TYPE;0.0;0.0;0;0;;UNSET_REASON;0;NO;0;0;AM;27.5349283;-82.73514501;;NO;NO;NO;NO;At base of Sea Grape thickets ;NO;IN_VEGITATION;0;313 North Bay Blvd;0.0;0.0;0;0;0.0;0.0;0;0;4;0;0;NO;Bob;YES;1;LOGGERHEAD;;FALSE_CRAWL;1465272000000;;NO
NO;section1@islandturtlewatch.com;83;ACTIVE;5;;NO;NO;;;YES;0;;NO;NO;NO;0;YES;0;;;;;;;NO;NO;NO;0;NO;;0;NO;NO;0;NO;;;;;ALL;NO;;;0;UNKOWN;NO;0;;0;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;NO;;0;0;0;NO;;UNSET_REASON;0;0;0;0;0;UNSET_REASON;0;UNSET_TYPE;0.0;0.0;0;0;;UNSET_REASON;0;NO;0;0;AM;27.53614001;-82.73730421;;NO;NO;NO;NO;;YES;UNSET_PLACEMENT;0;911 North Shore Blvd;0.0;0.0;0;0;0.0;0.0;0;0;2;0;0;NO;Bob;NO;0;LOGGERHEAD;;FALSE_CRAWL;1465272000000;;NO
NO;section1@islandturtlewatch.com;84;ACTIVE;8;;NO;NO;;;YES;0;;NO;NO;NO;0;YES;0;;;;;;;NO;NO;NO;0;NO;;0;NO;NO;0;NO;;;;;ALL;NO;;;0;UNKOWN;NO;0;;0;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;NO;;0;0;0;NO;;UNSET_REASON;0;0;0;0;0;UNSET_REASON;0;UNSET_TYPE;0.0;0.0;0;0;;UNSET_REASON;0;NO;0;0;AM;27.53178716;-82.72932134;;NO;NO;NO;NO;;YES;UNSET_PLACEMENT;0;308 South Bay Blvd;0.0;0.0;0;0;0.0;0.0;0;0;4;0;0;NO;Bob ;NO;0;LOGGERHEAD;;FALSE_CRAWL;1465272000000;;NO
NO;section1@islandturtlewatch.com;85;ACTIVE;9;;NO;NO;;;YES;0;;NO;NO;NO;0;YES;0;;;;;;;NO;NO;NO;0;NO;;0;NO;NO;0;NO;;;;;ALL;NO;;;0;UNKOWN;NO;0;;0;;;;;;;;;;;;;;;;;;;;;;;8;http://1-dot-static-sentinel-567.appspot.com/web/image/85/138b0a4b-3cc2-4aa4-8894-9d9da3bc3b2f.jpg;;;;;;;;NO;;0;0;0;NO;;UNSET_REASON;0;0;0;0;0;UNSET_REASON;0;UNSET_TYPE;0.0;0.0;0;0;;UNSET_REASON;0;NO;4;0;AM;27.53601358;-82.73704551;;NO;NO;NO;NO;at edge of seagrape thicket. ;NO;AT_VEGITATION;0;913 north shore blvd;0.0;0.0;0;0;0.0;0.0;0;0;12;0;0;NO;karen;NO;0;LOGGERHEAD;;FALSE_CRAWL;1465358400000;;NO
NO;section1@islandturtlewatch.com;86;ACTIVE;15;;NO;NO;;;YES;0;;NO;NO;NO;0;YES;1469851200000;;;;;;;NO;NO;NO;0;NO;;0;NO;NO;0;NO;;;;;ALL;NO;;;0;UNKOWN;NO;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;http://1-dot-static-sentinel-567.appspot.com/web/image/86/bc7f61d0-73ab-47ad-b4a8-1478339a644f.jpg;http://1-dot-static-sentinel-567.appspot.com/web/image/86/0c7b6cfe-10c7-4e16-8d21-9d674b5cc27f.jpg;;;;;;;YES;#47;0;0;0;YES;;UNSET_REASON;88;0;0;1470283200000;3;UNSET_REASON;0;UNSET_TYPE;0.0;0.0;0;0;;UNSET_REASON;0;NO;15;0;AM;27.53268744;-82.73114149;;NO;NO;NO;NO;;NO;IN_VEGITATION;0;101 Suth Bay  Blvd;0.0;0.0;0;0;0.0;0.0;0;0;30;0;5;NO;Lynn B;NO;0;LOGGERHEAD;;NEST_VERIFIED;1465444800000;;NO
NO;section1@islandturtlewatch.com;87;ACTIVE;5;;NO;NO;;;YES;0;;NO;NO;NO;0;YES;0;;;;;;;NO;NO;NO;0;NO;;0;NO;NO;0;NO;;;;;ALL;NO;;;0;UNKOWN;NO;0;;0;;;;;;;;;;;;;;;;;;;;;;;9;http://1-dot-static-sentinel-567.appspot.com/web/image/87/efa7bb59-fefd-41dd-84ac-1653e1a1e869.jpg;http://1-dot-static-sentinel-567.appspot.com/web/image/87/8c0f10de-1b5a-44e1-b30a-e5128fc35ac6.jpg;http://1-dot-static-sentinel-567.appspot.com/web/image/87/9db8d8ad-4c56-4a33-8abb-90b8adfb7665.jpg;http://1-dot-static-sentinel-567.appspot.com/web/image/87/f3cf2adf-4c2b-4871-a611-c92ad055bdc2.jpg;;;;;NO;;0;0;0;NO;;UNSET_REASON;0;0;0;0;0;UNSET_REASON;0;UNSET_TYPE;0.0;0.0;0;0;;UNSET_REASON;0;NO;0;0;AM;27.53110179;-82.72772562;;NO;NO;NO;NO;;YES;OPEN_BEACH;0;502 South Bay Blvd;0.0;0.0;0;0;0.0;0.0;0;0;34;0;0;YES;Mark;NO;0;LOGGERHEAD;;FALSE_CRAWL;1465617600000;1 foot high seawall;NO
NO;section1@islandturtlewatch.com;88;ACTIVE;9;;NO;NO;;;YES;0;;NO;NO;NO;0;YES;0;;;;;;;NO;NO;NO;0;NO;;0;NO;NO;0;NO;;;;;ALL;NO;;;0;UNKOWN;NO;0;;0;;;;;;;;;;;;;;;;;;;;;;;10;http://1-dot-static-sentinel-567.appspot.com/web/image/88/5c784a1a-40e6-4bbc-a0db-e958ee236c06.jpg;http://1-dot-static-sentinel-567.appspot.com/web/image/88/dad4478c-5a9f-4002-9b16-87af9fcd9c27.jpg;;;;;;;NO;;0;0;0;NO;;UNSET_REASON;0;0;0;0;0;UNSET_REASON;0;UNSET_TYPE;0.0;0.0;0;0;;UNSET_REASON;0;NO;0;0;AM;27.53544599;-82.73614953;;NO;NO;NO;NO;;NO;OPEN_BEACH;0;407 north bay;0.0;0.0;0;0;0.0;0.0;0;0;18;0;0;NO;Debbie;NO;0;LOGGERHEAD;;FALSE_CRAWL;1465704000000;;NO
NO;section1@islandturtlewatch.com;89;ACTIVE;1;;NO;NO;;;YES;0;;NO;NO;NO;0;YES;0;;;;;;;NO;NO;NO;0;NO;;0;NO;NO;0;NO;;;;;ALL;NO;;;0;UNKOWN;NO;0;;0;;;;;;;;;;;;;;;;;;;;;;;11;http://1-dot-static-sentinel-567.appspot.com/web/image/89/8528ae02-a09c-43e8-bf94-0c151088e22f.jpg;http://1-dot-static-sentinel-567.appspot.com/web/image/89/f1dd60fa-e953-475d-a978-fb33350f1bbf.jpg;;;;;;;NO;;0;0;0;NO;;UNSET_REASON;0;0;0;0;0;UNSET_REASON;0;UNSET_TYPE;0.0;0.0;0;0;;UNSET_REASON;0;NO;0;0;AM;0.0;0.0;;NO;NO;NO;NO;;NO;UNSET_PLACEMENT;0;907 north shore;0.0;0.0;0;0;0.0;0.0;0;0;0;0;0;NO;;YES;0;LOGGERHEAD;;FALSE_CRAWL;1465790400000;;NO
NO;section1@islandturtlewatch.com;90;ACTIVE;4;;NO;NO;;;YES;0;;NO;NO;NO;0;YES;0;;;;;;;NO;NO;NO;0;NO;;0;NO;NO;0;NO;;;;;ALL;NO;;;0;UNKOWN;NO;0;;0;;;;;;;;;;;;;;;;;;;;;;;11;http://1-dot-static-sentinel-567.appspot.com/web/image/90/8528ae02-a09c-43e8-bf94-0c151088e22f.jpg;http://1-dot-static-sentinel-567.appspot.com/web/image/90/f1dd60fa-e953-475d-a978-fb33350f1bbf.jpg;;;;;;;NO;;0;0;0;NO;;UNSET_REASON;0;0;0;0;0;UNSET_REASON;0;UNSET_TYPE;0.0;0.0;0;0;;UNSET_REASON;0;NO;0;0;AM;27.53627602;-82.73768888;;NO;NO;NO;NO;Wooden decking;NO;UNSET_PLACEMENT;0;907 north shore;0.0;0.0;0;0;0.0;0.0;0;0;33;0;0;NO;Ron;NO;0;LOGGERHEAD;;FALSE_CRAWL;1465790400000;;NO
NO;section1@islandturtlewatch.com;91;ACTIVE;2;;NO;NO;;;YES;0;;NO;NO;NO;0;YES;0;;;;;;;NO;NO;NO;0;NO;;0;NO;NO;0;NO;;;;;ALL;NO;;;0;UNKOWN;NO;0;;0;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;NO;;0;0;0;NO;;UNSET_REASON;0;0;0;0;0;UNSET_REASON;0;UNSET_TYPE;0.0;0.0;0;0;;UNSET_REASON;0;NO;0;0;AM;27.53679536;-82.73822339;;NO;NO;NO;NO;;YES;OPEN_BEACH;0;901 north shore;0.0;0.0;0;0;0.0;0.0;0;0;3;0;0;NO;Ron;NO;0;LOGGERHEAD;;FALSE_CRAWL;1465790400000;;NO
